 Show Number, Air Date, Round, Category, Value, Question, Answer
4680,2004-12-31,Jeopardy!,HISTORY,$200.00,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory",Copernicus
4680,2004-12-31,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$200.00,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves",Jim Thorpe
4680,2004-12-31,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$200.00,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year",Arizona
4680,2004-12-31,Jeopardy!,THE COMPANY LINE,$200.00,"In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger",McDonald's
4680,2004-12-31,Jeopardy!,EPITAPHS & TRIBUTES,$200.00,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States",John Adams
4680,2004-12-31,Jeopardy!,3-LETTER WORDS,$200.00,"In the title of an Aesop fable, this insect shared billing with a grasshopper",the ant
4680,2004-12-31,Jeopardy!,HISTORY,$400.00,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today",the Appian Way
4680,2004-12-31,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$400.00,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Michael Jordan
4680,2004-12-31,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$400.00,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state",Washington
4680,2004-12-31,Jeopardy!,THE COMPANY LINE,$400.00,This housewares store was named for the packaging its merchandise came in & was first displayed on,Crate & Barrel
4680,2004-12-31,Jeopardy!,EPITAPHS & TRIBUTES,$400.00,"""And away we go""",Jackie Gleason
4680,2004-12-31,Jeopardy!,3-LETTER WORDS,$400.00,Cows regurgitate this from the first stomach to the mouth & chew it again,the cud
4680,2004-12-31,Jeopardy!,HISTORY,$600.00,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea,Ceylon (or Sri Lanka)
4680,2004-12-31,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$600.00,"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies",Jim Brown
4680,2004-12-31,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$600.00,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation",the UV index
4680,2004-12-31,Jeopardy!,THE COMPANY LINE,$600.00,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month",Bulova
4680,2004-12-31,Jeopardy!,EPITAPHS & TRIBUTES,$600.00,"Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here""",Jesse James
4680,2004-12-31,Jeopardy!,3-LETTER WORDS,$600.00,"A small demon, or a mischievous child (who might be a little demon!)",imp
4680,2004-12-31,Jeopardy!,HISTORY,$800.00,Karl led the first of these Marxist organizational efforts; the second one began in 1889,the International
4680,2004-12-31,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$800.00,"No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; ""Gibraltar in Cleats""",(Lou) Gehrig
4680,2004-12-31,Jeopardy!,EVERYBODY TALKS ABOUT IT...,$800.00,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country",Morocco
4680,2004-12-31,Jeopardy!,THE COMPANY LINE,$800.00,Edward Teller & this man partnered in 1898 to sell high fashions to women,(Paul) Bonwit
4680,2004-12-31,Jeopardy!,EPITAPHS & TRIBUTES,"$2,000.00","1939 Oscar winner: ""...you are a credit to your craft, your race and to your family""",Hattie McDaniel (for her role in Gone with the Wind)
4680,2004-12-31,Jeopardy!,3-LETTER WORDS,$800.00,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs",era
4680,2004-12-31,Jeopardy!,HISTORY,$1000.00,"This Asian political party was founded in 1885 with ""Indian National"" as part of its name",the Congress Party
4680,2004-12-31,Jeopardy!,ESPN's TOP 10 ALL-TIME ATHLETES,$1000.00,No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer,(Wilt) Chamberlain
4680,2004-12-31,Jeopardy!,THE COMPANY LINE,$1000.00,"The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain",K2
4680,2004-12-31,Jeopardy!,EPITAPHS & TRIBUTES,$1000.00,"Revolutionary War hero: ""His spirit is in Vermont now""",Ethan Allen
4680,2004-12-31,Jeopardy!,3-LETTER WORDS,$1000.00,"A single layer of paper, or to perform one's craft diligently",ply
4680,2004-12-31,Double Jeopardy!,DR. SEUSS AT THE MULTIPLEX,$400.00,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"">Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he ""Hatches the Egg""</a>",Horton
4680,2004-12-31,Double Jeopardy!,PRESIDENTIAL STATES OF BIRTH,$400.00,California,Nixon
4680,2004-12-31,Double Jeopardy!,AIRLINE TRAVEL,$400.00,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat",a kennel
4680,2004-12-31,Double Jeopardy!,THAT OLD-TIME RELIGION,$400.00,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death",Moses
4680,2004-12-31,Double Jeopardy!,MUSICAL TRAINS,$400.00,"Steven Tyler of this band lent his steamin' vocals to ""Train Kept A-Rollin'"", first popularized by the Yardbirds",Aerosmith
4680,2004-12-31,Double Jeopardy!,"""X""s & ""O""s",$400.00,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero,oratory
4680,2004-12-31,Double Jeopardy!,PRESIDENTIAL STATES OF BIRTH,$800.00,1 of the 2 born in Vermont,Coolidge (or Chester Arthur)
4680,2004-12-31,Double Jeopardy!,AIRLINE TRAVEL,$800.00,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks",business class
4680,2004-12-31,Double Jeopardy!,THAT OLD-TIME RELIGION,$800.00,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor",Muhammed
