,cluster_id,x,y,z,sentence
0,18,1.6084505,0.2844376,7.317358,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory"
1,6,6.0730295,2.5507898,-6.8956175,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves"
2,9,-5.1101656,5.1797237,-7.2564626,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year"
3,11,2.231589,3.0076244,-3.3971758,"In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger"
4,18,9.001209,0.5068893,-1.7540592,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States"
5,12,3.742351,-0.6575721,4.392727,"In the title of an Aesop fable, this insect shared billing with a grasshopper"
6,15,7.468528,0.6379647,6.485088,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today"
7,6,6.388751,3.163228,-7.265356,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls"
8,4,-5.299827,4.958871,-7.2916226,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state"
9,1,-2.8440359,-3.5271327,0.17595261,This housewares store was named for the packaging its merchandise came in & was first displayed on
10,8,-3.5651736,7.841762,-5.300666,"""And away we go"""
11,7,-9.661274,4.547769,-1.5153271,Cows regurgitate this from the first stomach to the mouth & chew it again
12,15,6.969167,0.16545823,9.09645,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea
13,6,4.8749394,2.5671768,-7.4580903,"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies"
14,11,-6.3151064,4.472463,-7.845361,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation"
15,11,-6.2878647,-5.1458416,-0.0008262382,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month"
16,2,5.8056417,-7.6049376,1.5746247,"Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here"""
17,3,-0.48886594,7.4100313,5.3761806,"A small demon, or a mischievous child (who might be a little demon!)"
18,11,0.12122495,2.025253,8.521579,Karl led the first of these Marxist organizational efforts; the second one began in 1889
19,6,6.2887497,2.5595753,-6.774029,"No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; ""Gibraltar in Cleats"""
20,9,-5.54461,2.9763856,-8.4904,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country"
21,11,1.8377557,-1.0006785,-2.9903238,Edward Teller & this man partnered in 1898 to sell high fashions to women
22,1,5.5694222,-6.7533746,-2.9651608,"1939 Oscar winner: ""...you are a credit to your craft, your race and to your family"""
23,10,-11.8876,2.7594275,0.60233617,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs"
24,1,-6.705098,-6.5649934,2.7052402,"This Asian political party was founded in 1885 with ""Indian National"" as part of its name"
25,6,5.7534285,2.8007786,-7.2683544,No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer
26,16,-1.5493075,0.8459492,-5.7730117,"The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain"
27,2,5.2344604,-2.9177196,-1.0280167,"Revolutionary War hero: ""His spirit is in Vermont now"""
28,3,-8.809774,1.43505,4.737535,"A single layer of paper, or to perform one's craft diligently"
29,0,7.8469896,-4.821085,10.944307,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"">Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he ""Hatches the Egg""</a>"
30,14,-9.419701,-4.793029,-4.655423,California
31,3,-7.156042,3.026171,4.396928,"It can be a place to leave your puppy when you take a trip, or a carrier for him that fits under an airplane seat"
32,2,6.0126066,-4.969673,4.6765385,"He's considered the author of the Pentateuch, which is hard to believe, as Deuteronomy continues after his death"
33,19,3.5870059,8.254058,-4.2400403,"Steven Tyler of this band lent his steamin' vocals to ""Train Kept A-Rollin'"", first popularized by the Yardbirds"
34,15,7.116003,0.51250124,5.2572136,Around 100 A.D. Tacitus wrote a book on how this art of persuasive speaking had declined since Cicero
35,4,4.739866,0.49812624,-3.2790031,1 of the 2 born in Vermont
36,17,3.6499746,2.6714509,-3.3018737,"When it began on Pan Am & Qantas in the late '70s, it was basically a roped-off part of the economy cabin with free drinks"
37,15,5.402703,-1.5430329,7.0480433,"Ali, who married this man's daughter Fatima, is considered by Shia Muslims to be his true successor"
38,19,1.4253203,3.6636393,-4.446929,"During the 1954-1955 Sun sessions, Elvis climbed aboard this train ""sixteen coaches long"""
39,0,4.484638,-4.968406,11.024438,"The shorter glass seen <a href=""http://www.j-archive.com/media/2004-12-31_DJ_12.jpg"" target=""_blank"">here</a>, or a quaint cocktail made with sugar & bitters"
40,0,7.8469896,-4.821085,10.944307,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_26.mp3"">Ripped from today's headlines, he was a turtle king gone mad; Mack was the one good turtle who'd bring him down</a>"
41,11,-2.7969277,-1.7804166,-1.0720437,"In 2003 this airline agreed to buy KLM, creating Europe's largest airline"
42,18,9.44008,-0.8892904,0.41962287,Philadelphia got its start as a colony for this religious group of which William Penn was a member
43,19,1.0822479,7.507871,-4.802725,"This ""Modern Girl"" first hit the Billboard Top 10 with ""Morning Train (Nine To Five)"""
44,11,-0.8029049,-1.8055736,0.9803523,"This stiff silken fabric is favored for bridal gowns, like Christina Applegate's in 2001"
45,0,7.8469896,-4.821085,10.944307,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_25.mp3"">Somewhere between truth & fiction lies Marco's reality... on Halloween, you won't believe you saw it on this St.</a>"
46,17,-2.917656,-1.9816742,-0.91011,In 2004 United launched this new service that features low fares & more seats per plane
47,18,9.456372,-0.6459016,3.1458852,With Mary I's accession in 1553 he ran to Geneva; he returned in 1559 & reformed the Church of Scotland
48,19,3.4674797,8.720619,-3.2547495,"This band's ""Train In Vain"" was a hidden track on its original 1979 ""London Calling"" album"
49,5,-3.1497822,-6.0006924,7.090541,"Cross-country skiing is sometimes referred to by these 2 letters, the same ones used to denote 90 in Roman numerals"
50,0,7.8469896,-4.821085,10.944307,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_24.mp3"">""500 Hats""... 500 ways to die.  On July 4th, this young boy will defy a king... & become a legend</a>"
51,1,-3.6673398,0.2733039,2.683735,"In the seat pocket you'll find the catalog called ""Sky"" this, with must-haves like a solar-powered patio umbrella"
52,18,10.863979,1.4351438,3.2446966,In 1534 he & his buddy Francis Xavier founded the Society of Jesus
53,19,1.4805735,3.610775,-4.3885064,"In 1961 James Brown announced ""all aboard"" for this train"
54,18,2.9640381,-3.9276323,-6.129858,This 1797 imbroglio began when 3 French agents demanded a huge bribe from U.S. diplomats
55,10,-11.758107,6.0996637,2.6213274,Objects that pass closer to the sun than Mercury have been named for this mythological figure
56,9,-2.8713844,1.9049473,-12.733867,It's the largest kingdom in the United Kingdom
57,19,0.27285093,4.6919694,0.7232857,"""Party In The U.S.A."" is by this singer who also plays a young lady named Hannah"
58,7,-9.521014,3.1497405,-3.7035244,"If this part of a peach is downy or fuzzy, the fruit's called a peach; if it's smooth, a nectarine"
59,13,-1.4062898,-1.2280761,12.636132,4 x 12
60,3,-5.8163767,-0.41622746,3.5883358,This verb for bouncing a basketball sounds like you're slobbering
61,3,-9.164927,2.990478,1.2739625,Blood pumper
62,0,6.686422,-6.8528395,10.640723,"(<a href=""http://www.j-archive.com/media/2010-07-06_J_22.wmv"">Tate: I'm Tate Shaffer aboard the <i>National Geographic Endeavour</i>.  Alex: And...</a>)  We're here in the Galapagos Islands at zero degrees latitude, which means we're right above this imaginary line that goes all the way around the Earth"
63,19,-0.8360753,5.407959,-0.10422408,"""Everybody Else"" knows these huggable toys precede ""On Fire"" in the name of a Radio Disney top 30 band; do you?"
64,7,-10.32216,4.3869796,-3.3607085,Peaches are more than 80% this compound
65,13,-1.5284123,-1.217842,12.485525,7 x 7 x 2
66,5,-6.6339426,-2.6025658,0.63205165,Sound navigation& ranging is the full name for this device that bounces radio waves underwater
67,3,-7.2689524,5.944708,2.4696114,"Small, slender missile thrown at a board in a game"
68,16,-2.4143424,5.1691017,-10.248501,"This island in the South Pacific is named for the day of its discovery, a religious holiday"
69,19,2.5102804,9.986758,-4.5262494,"""The songs on 'Under My Skin' are...deeper than those on 'Let Go'"" said this Canadian on Radio Disney's website"
70,5,-4.5334663,-9.150223,2.866675,5-letter word for the hard interior of a peach
71,13,-1.5496581,-1.2165595,12.459311,3 x 4 x 5 x 6
72,3,-6.499862,0.64274853,0.8845158,"In this kid's game, you bounce a small rubber ball while picking up 6-pronged metal objects"
73,3,-7.3976846,3.549378,5.562702,It can be a separating line in your hair or a role in a play
74,9,-5.7596054,1.7122464,-9.157853,Parts of the Arabian and Libyan deserts are found in this African country
75,19,1.6802611,6.8843026,-3.9397306,"""I Never Told You"" this alliteratively named singer hit Disney's Top 30 with ""Fallin' For You""; wait, I just did"
76,7,-9.364651,1.9702682,-3.9534922,"These parts of a peach tree are glossy green, pointed & lance shaped"
77,13,-1.4580195,-1.2244803,12.573087,5 x 10 x 15
78,19,-4.5902195,4.624745,3.141077,"It's a type of bounce house, or a dance made famous by Michael Jackson"
79,3,-3.4760165,-1.6601224,9.05414,A graphic representation of information
80,3,-2.9133863,0.1027691,3.3147354,The family history you wrote for school might include entering the U.S. at this island in New York Bay
81,19,4.130981,8.87663,-4.751728,"Lead singer Ryan Tedder of this band has ""All The Right Moves"""
82,7,-9.431322,2.6426895,-3.790077,These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink
83,13,-1.0770134,-1.2595501,13.023919,"2 x 1,035"
84,11,-2.6597707,-7.4815593,3.0485616,"This device whose name is from the Italian for ""springboard"" was perfected in the 1930s"
85,14,-10.3649435,-4.864739,-3.2260451,Composer Wolfgang
86,10,-13.158427,3.5774596,1.8536532,99.95% of the mass of an atom is in this part
87,4,2.6739707,0.9737949,-7.089286,"Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series"
88,1,2.6673574,3.8103845,2.9232605,This hero of several books is 11 when he discovers he's a wizard
89,0,3.836831,-5.74199,9.938294,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_26.jpg"" target=""_blank"">this</a> type of mollusk you see"
90,9,-6.729369,4.593001,-7.9516773,"A 7.0 magnitude earthquake in this Caribbean country Jan. 12, 2010 brought a world outpouring of aid"
91,5,-1.2549129,-3.7248049,2.247839,It's the 4-letter name of the pleated skirt worn by men in Scotland
92,10,-11.100923,2.9452434,-1.7108469,"During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose"
