,show_id,cluster_id,x,y,z,sentence
0,4680,8,-4.953919,-1.6692495,-0.07026006,"For the last 8 years of his life, Galileo was under house arrest for espousing this man's theory"
1,4680,15,2.3971667,6.016107,-4.505568,"No. 2: 1912 Olympian; football star at Carlisle Indian School; 6 MLB seasons with the Reds, Giants & Braves"
2,4680,0,-7.241337,2.6868963,-7.2939343,"The city of Yuma in this state has a record average of 4,055 hours of sunshine each year"
3,4680,12,-1.9221011,1.2041616,-3.4172664,"In 1963, live on ""The Art Linkletter Show"", this company served its billionth burger"
4,4680,2,-6.9288015,-0.23823811,2.27765,"Signer of the Dec. of Indep., framer of the Constitution of Mass., second President of the United States"
5,4680,7,-0.39128,-2.6242466,-0.9240548,"In the title of an Aesop fable, this insect shared billing with a grasshopper"
6,4680,8,-3.712637,-0.98261666,-8.962738,"Built in 312 B.C. to link Rome & the South of Italy, it's still in use today"
7,4680,15,2.1963031,5.8994017,-4.53517,"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls"
8,4680,0,-7.1039267,2.753841,-7.33875,"In the winter of 1971-72, a record 1,122 inches of snow fell at Rainier Paradise Ranger Station in this state"
9,4680,17,-0.8436329,2.2652051,-4.3781548,This housewares store was named for the packaging its merchandise came in & was first displayed on
10,4680,5,2.260006,-5.3453693,0.25380877,"""And away we go"""
11,4680,3,-2.6238666,-3.107912,6.8677354,Cows regurgitate this from the first stomach to the mouth & chew it again
12,4680,8,-4.765737,0.019810826,-9.493007,In 1000 Rajaraja I of the Cholas battled to take this Indian Ocean island now known for its tea
13,4680,15,3.2841501,4.968066,-3.461492,"No. 1: Lettered in hoops, football & lacrosse at Syracuse & if you think he couldn't act, ask his 11 ""unclean"" buddies"
14,4680,0,-6.548192,3.0942087,-7.4508758,"On June 28, 1994 the nat'l weather service began issuing this index that rates the intensity of the sun's radiation"
15,4680,11,-0.61075044,1.2459524,-6.52085,"This company's Accutron watch, introduced in 1960, had a guarantee of accuracy to within one minute a  month"
16,4680,5,2.1942685,-4.3483367,1.326163,"Outlaw: ""Murdered by a traitor and a coward whose name is not worthy to appear here"""
17,4680,18,2.0036185,1.0206002,3.4806619,"A small demon, or a mischievous child (who might be a little demon!)"
18,4680,12,-4.611265,0.49594325,0.8455558,Karl led the first of these Marxist organizational efforts; the second one began in 1889
19,4680,15,2.3009243,6.114468,-4.617155,"No. 10: FB/LB for Columbia U. in the 1920s; MVP for the Yankees in '27 & '36; ""Gibraltar in Cleats"""
20,4680,14,-11.340762,-0.5242392,-4.448668,"Africa's lowest temperature was 11 degrees below zero in 1935 at Ifrane, just south of Fez in this country"
21,4680,12,-2.495383,2.441423,-4.617684,Edward Teller & this man partnered in 1898 to sell high fashions to women
22,4680,5,-0.017757356,-3.5031536,3.470455,"1939 Oscar winner: ""...you are a credit to your craft, your race and to your family"""
23,4680,11,6.7780685,2.3675008,6.7328987,"In geologic time one of these, shorter than an eon, is divided into periods & subdivided into epochs"
24,4680,17,-0.1344311,-5.8318567,-4.752467,"This Asian political party was founded in 1885 with ""Indian National"" as part of its name"
25,4680,15,2.2608151,5.6847315,-4.347398,No. 5: Only center to lead the NBA in assists; track scholarship to Kansas U.; marathoner; volleyballer
26,4680,12,-3.9613636,4.2382936,-4.741242,"The Kirschner brothers, Don & Bill, named this ski company for themselves & the second-highest mountain"
27,4680,5,-0.39633206,-1.6983408,2.5979125,"Revolutionary War hero: ""His spirit is in Vermont now"""
28,4680,4,4.445982,-0.892511,3.6103687,"A single layer of paper, or to perform one's craft diligently"
29,4680,1,14.881634,0.008075771,0.97126245,"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"">Beyond ovoid abandonment, beyond ovoid betrayal... you won't believe the ending when he ""Hatches the Egg""</a>"
30,4680,19,7.396538,-5.691813,-2.1148937,California
